Order_ID,Customer_ID,City,Category,Payment_Mode,Order_Date,Scheduled_Delivery_Days,Actual_Delivery_Days,Delivery_Date,Order_Value,Discount_Applied,Discount_Amount,Final_Amount,Returned,Return_Reason,Delay
25,2515,Los Angeles,Clothing,Net Banking,2022-08-02,2,3,2022-08-05,254.51,0.22,55.99,198.52,0,Not Returned,1
26,4485,Boston,Beauty,Net Banking,2022-02-07,9,9,2022-02-16,461.65,0.0,0.0,461.65,0,Not Returned,0
27,3853,Phoenix,Books,UPI,2022-07-28,1,1,2022-07-29,379.13,0.25,94.78,284.35,0,Not Returned,0
28,3433,Houston,Toys,COD,2022-08-02,5,7,2022-08-09,424.25,0.22,93.34,330.91,0,Not Returned,2
29,2215,Seattle,Toys,Debit Card,2022-05-09,6,5,2022-05-14,406.27,0.04,16.25,390.02,0,Not Returned,-1
30,1955,Miami,Beauty,UPI,2022-05-01,3,4,2022-05-05,207.02,0.1,20.7,186.32,1,Size Issue,1
31,3324,Miami,Toys,Debit Card,2022-07-31,3,5,2022-08-05,360.3,0.19,68.46,291.84,0,Not Returned,2
32,2184,Chicago,Sports,COD,2022-06-10,1,1,2022-06-11,382.04,0.15,57.31,324.73,0,Not Returned,0
33,1459,Chicago,Home Appliances,Net Banking,2022-04-19,8,7,2022-04-26,118.71,0.03,3.56,115.15,0,Not Returned,-1
34,4385,Phoenix,Sports,Credit Card,2022-03-06,3,2,2022-03-08,432.93,0.03,12.99,419.94,0,Not Returned,-1
35,1021,Phoenix,Electronics,Debit Card,2022-03-05,10,9,2022-03-14,239.72,0.23,55.14,184.58,0,Not Returned,-1
36,3300,Dallas,Books,Net Banking,2022-01-09,3,5,2022-01-14,27.85,0.05,1.39,26.46,0,Not Returned,2
37,1747,Los Angeles,Home Appliances,Debit Card,2022-02-01,7,5,2022-02-06,328.82,0.05,16.44,312.38,0,Not Returned,-2
38,3904,New York,Clothing,Debit Card,2022-11-06,4,3,2022-11-09,344.85,0.25,86.21,258.64,0,Not Returned,-1
39,4632,Seattle,Toys,Debit Card,2022-05-05,1,2,2022-05-07,284.85,0.18,51.27,233.58,0,Not Returned,1
40,1474,Chicago,Electronics,COD,2022-10-09,10,8,2022-10-17,121.96,0.18,21.95,100.01,0,Not Returned,-2
41,2082,New York,Electronics,UPI,2022-11-14,7,9,2022-11-23,251.49,0.14,35.21,216.28,0,Not Returned,2
42,3558,New York,Books,Debit Card,2022-04-19,1,3,2022-04-22,212.06,0.17,36.05,176.01,0,Not Returned,2
43,4753,Los Angeles,Home Appliances,COD,2022-06-19,6,8,2022-06-27,487.85,0.18,87.81,400.04,0,Not Returned,2
44,3047,San Francisco,Electronics,Credit Card,2022-06-25,7,6,2022-07-01,415.85,0.29,120.6,295.25,0,Not Returned,-1
45,4547,San Francisco,Home Appliances,UPI,2022-09-02,9,9,2022-09-11,385.71,0.07,27.0,358.71,1,Late Delivery,0
46,3747,Chicago,Home Appliances,COD,2022-09-13,5,4,2022-09-17,106.92,0.06,6.42,100.5,0,Not Returned,-1
47,1975,Houston,Beauty,Credit Card,2022-10-13,4,3,2022-10-16,178.9,0.02,3.58,175.32,0,Not Returned,-1
48,2806,Los Angeles,Electronics,UPI,2022-08-20,8,7,2022-08-27,202.26,0.2,40.45,161.81,0,Not Returned,-1
49,1189,Los Angeles,Home Appliances,COD,2022-05-31,2,1,2022-06-01,256.46,0.16,41.03,215.43,0,Not Returned,-1
50,4005,Boston,Books,Credit Card,2022-04-13,5,3,2022-04-16,34.51,0.03,1.04,33.47,0,Not Returned,-2
51,3734,New York,Electronics,COD,2022-01-25,9,7,2022-02-01,304.64,0.11,33.51,271.13,0,Not Returned,-2
52,4005,Boston,Books,Credit Card,2022-05-21,5,7,2022-05-28,191.77,0.05,9.59,182.18,0,Not Returned,2
53,1562,New York,Books,Debit Card,2022-06-02,8,9,2022-06-11,289.61,0.1,28.96,260.65,0,Not Returned,1
54,2899,San Francisco,Home Appliances,Debit Card,2022-09-30,8,9,2022-10-09,24.31,0.29,7.05,17.26,0,Not Returned,1
55,4638,Chicago,Home Appliances,UPI,2022-04-18,7,7,2022-04-25,174.29,0.2,34.86,139.43,0,Not Returned,0
56,2267,Seattle,Beauty,Credit Card,2022-01-27,1,3,2022-01-30,388.96,0.0,0.0,388.96,0,Not Returned,2
57,3879,San Francisco,Toys,Debit Card,2022-05-19,3,3,2022-05-22,260.52,0.08,20.84,239.68,0,Not Returned,0
58,2528,Los Angeles,Beauty,UPI,2022-05-14,7,5,2022-05-19,398.67,0.0,0.0,398.67,0,Not Returned,-2
59,4202,Seattle,Electronics,Net Banking,2022-03-20,10,9,2022-03-29,355.5,0.21,74.66,280.84,0,Not Returned,-1
60,4556,Phoenix,Beauty,Debit Card,2022-10-20,1,1,2022-10-21,430.36,0.14,60.25,370.11,0,Not Returned,0
61,4890,Seattle,Clothing,Debit Card,2022-08-12,1,1,2022-08-13,23.57,0.3,7.07,16.5,0,Not Returned,0
62,1646,Seattle,Electronics,COD,2022-08-04,11,9,2022-08-13,145.44,0.22,32.0,113.44,0,Not Returned,-2
63,3068,San Francisco,Books,Net Banking,2022-07-22,5,7,2022-07-29,283.42,0.16,45.35,238.07,0,Not Returned,2
64,3888,Los Angeles,Beauty,Credit Card,2022-04-16,5,4,2022-04-20,471.69,0.24,113.21,358.48,0,Not Returned,-1
65,3214,Seattle,Beauty,UPI,2022-06-14,2,1,2022-06-15,346.3,0.21,72.72,273.58,0,Not Returned,-1
66,2297,San Francisco,Toys,Net Banking,2022-07-21,4,6,2022-07-27,239.16,0.07,16.74,222.42,0,Not Returned,2
67,3435,San Francisco,Beauty,Credit Card,2022-11-11,11,9,2022-11-20,82.47,0.16,13.2,69.27,1,Defective,-2
68,1600,Seattle,Home Appliances,Debit Card,2022-01-10,8,6,2022-01-16,256.74,0.17,43.65,213.09,0,Not Returned,-2
69,3363,New York,Books,UPI,2022-09-14,5,5,2022-09-19,231.72,0.14,32.44,199.28,1,Wrong Item,0
70,3061,Los Angeles,Beauty,UPI,2022-08-25,1,1,2022-08-26,393.65,0.05,19.68,373.97,0,Not Returned,0
71,1241,Miami,Sports,Net Banking,2022-02-21,8,9,2022-03-02,218.41,0.07,15.29,203.12,0,Not Returned,1
72,3041,Seattle,Sports,COD,2022-08-03,11,9,2022-08-12,173.04,0.08,13.84,159.2,0,Not Returned,-2
73,3824,Boston,Books,Credit Card,2022-05-26,1,1,2022-05-27,63.07,0.0,0.0,63.07,0,Not Returned,0
74,4417,Boston,Beauty,Net Banking,2022-12-09,2,4,2022-12-13,42.32,0.28,11.85,30.47,0,Not Returned,2
75,3612,Phoenix,Toys,COD,2022-09-18,1,1,2022-09-19,230.78,0.21,48.46,182.32,0,Not Returned,0
76,3945,Los Angeles,Clothing,COD,2022-12-24,2,4,2022-12-28,186.49,0.21,39.16,147.33,0,Not Returned,2
77,2363,San Francisco,Toys,COD,2022-08-11,5,7,2022-08-18,286.56,0.17,48.72,237.84,0,Not Returned,2
78,3139,Dallas,Clothing,UPI,2022-04-13,9,8,2022-04-21,361.73,0.21,75.96,285.77,0,Not Returned,-1
79,2390,Chicago,Electronics,Credit Card,2022-07-31,1,3,2022-08-03,39.2,0.29,11.37,27.83,0,Not Returned,2
80,4003,Houston,Electronics,Credit Card,2022-12-15,4,3,2022-12-18,258.18,0.12,30.98,227.2,1,No Longer Needed,-1
81,2478,Dallas,Toys,Net Banking,2022-02-17,6,5,2022-02-22,433.75,0.21,91.09,342.66,0,Not Returned,-1
82,4499,Los Angeles,Beauty,Debit Card,2022-10-16,5,6,2022-10-22,238.48,0.11,26.23,212.25,0,Not Returned,1
83,3556,Los Angeles,Toys,Net Banking,2022-07-04,4,3,2022-07-07,270.2,0.26,70.25,199.95,1,Size Issue,-1
84,1775,Seattle,Electronics,Credit Card,2022-04-13,8,6,2022-04-19,253.66,0.26,65.95,187.71,0,Not Returned,-2
85,1034,Seattle,Home Appliances,UPI,2022-08-12,7,7,2022-08-19,207.1,0.27,55.92,151.18,0,Not Returned,0
86,3253,Dallas,Clothing,Net Banking,2022-10-08,7,6,2022-10-14,72.86,0.0,0.0,72.86,0,Not Returned,-1
87,4152,San Francisco,Books,Debit Card,2022-10-27,8,6,2022-11-02,80.65,0.09,7.26,73.39,0,Not Returned,-2
88,2955,Phoenix,Toys,Net Banking,2022-04-01,4,2,2022-04-03,105.96,0.04,4.24,101.72,1,Wrong Item,-2
89,2585,Seattle,Beauty,COD,2022-04-21,2,4,2022-04-25,400.43,0.14,56.06,344.37,0,Not Returned,2
90,4943,Houston,Beauty,Debit Card,2022-11-18,3,1,2022-11-19,152.16,0.15,22.82,129.34,0,Not Returned,-2
91,4459,Houston,Sports,COD,2022-05-08,3,5,2022-05-13,475.1,0.08,38.01,437.09,0,Not Returned,2
92,4073,Phoenix,Clothing,UPI,2022-09-08,5,3,2022-09-11,408.88,0.22,89.95,318.93,1,Wrong Item,-2
93,2021,New York,Clothing,Credit Card,2022-07-15,2,3,2022-07-18,348.58,0.08,27.89,320.69,0,Not Returned,1
94,4461,New York,Clothing,Net Banking,2022-06-02,3,4,2022-06-06,365.79,0.26,95.11,270.68,1,No Longer Needed,1
95,3613,Los Angeles,Toys,Net Banking,2022-10-06,8,9,2022-10-15,42.86,0.05,2.14,40.72,0,Not Returned,1
96,2129,Seattle,Electronics,COD,2022-12-22,5,6,2022-12-28,292.83,0.11,32.21,260.62,0,Not Returned,1
97,4843,Boston,Home Appliances,COD,2022-12-09,7,8,2022-12-17,471.71,0.19,89.62,382.09,1,Defective,1
98,4893,Dallas,Toys,Credit Card,2022-04-30,7,5,2022-05-05,38.77,0.18,6.98,31.79,0,Not Returned,-2
99,2500,Miami,Books,Net Banking,2022-10-11,7,6,2022-10-17,159.69,0.02,3.19,156.5,0,Not Returned,-1
100,1702,Phoenix,Electronics,Credit Card,2022-09-21,4,3,2022-09-24,44.73,0.25,11.18,33.55,0,Not Returned,-1
101,3449,Los Angeles,Toys,COD,2022-08-13,8,7,2022-08-20,293.48,0.18,52.83,240.65,0,Not Returned,-1
102,3777,Boston,Home Appliances,COD,2022-09-11,8,9,2022-09-20,75.78,0.26,19.7,56.08,0,Not Returned,1
103,2579,Seattle,Clothing,Debit Card,2022-06-06,8,9,2022-06-15,250.04,0.26,65.01,185.03,0,Not Returned,1
104,1161,Boston,Home Appliances,COD,2022-07-03,9,7,2022-07-10,365.58,0.16,58.49,307.09,1,Size Issue,-2
105,1201,Boston,Electronics,COD,2022-01-15,4,3,2022-01-18,98.93,0.27,26.71,72.22,0,Not Returned,-1
106,2981,Phoenix,Toys,Credit Card,2022-10-20,3,5,2022-10-25,382.57,0.25,95.64,286.93,0,Not Returned,2
107,1995,Los Angeles,Clothing,Debit Card,2022-12-29,8,9,2023-01-07,48.9,0.29,14.18,34.72,0,Not Returned,1
108,3317,San Francisco,Toys,Debit Card,2022-04-30,9,9,2022-05-09,91.82,0.26,23.87,67.95,0,Not Returned,0
109,4934,Houston,Electronics,Net Banking,2022-12-07,3,3,2022-12-10,154.45,0.25,38.61,115.84,0,Not Returned,0
110,1815,Dallas,Books,UPI,2022-09-05,5,5,2022-09-10,402.13,0.14,56.3,345.83,0,Not Returned,0
111,4342,Los Angeles,Clothing,Net Banking,2022-04-28,3,1,2022-04-29,428.07,0.06,25.68,402.39,0,Not Returned,-2
112,1455,Miami,Home Appliances,Net Banking,2022-04-02,5,7,2022-04-09,125.78,0.27,33.96,91.82,1,Wrong Item,2
113,4533,Boston,Electronics,Net Banking,2022-02-05,1,2,2022-02-07,65.98,0.22,14.52,51.46,1,No Longer Needed,1
114,4798,San Francisco,Sports,Debit Card,2022-12-02,8,6,2022-12-08,427.02,0.08,34.16,392.86,1,Size Issue,-2
115,2275,Phoenix,Home Appliances,Credit Card,2022-01-12,7,6,2022-01-18,331.7,0.1,33.17,298.53,0,Not Returned,-1
116,2016,Chicago,Home Appliances,COD,2022-01-28,8,7,2022-02-04,95.77,0.21,20.11,75.66,1,No Longer Needed,-1
117,4773,Dallas,Clothing,Debit Card,2022-10-16,2,3,2022-10-19,287.7,0.14,40.28,247.42,0,Not Returned,1
118,3343,Dallas,Toys,COD,2022-03-16,7,8,2022-03-24,438.74,0.02,8.77,429.97,0,Not Returned,1
119,4796,Houston,Beauty,COD,2022-03-20,5,5,2022-03-25,53.37,0.04,2.13,51.24,0,Not Returned,0
120,3767,Chicago,Home Appliances,UPI,2022-07-30,2,4,2022-08-03,60.19,0.22,13.24,46.95,1,Wrong Item,2
121,4820,Seattle,Electronics,Net Banking,2022-07-02,9,9,2022-07-11,151.33,0.1,15.13,136.2,0,Not Returned,0
122,1337,Chicago,Sports,UPI,2022-03-20,7,9,2022-03-29,333.09,0.15,49.96,283.13,0,Not Returned,2
123,1878,Boston,Books,Net Banking,2022-07-20,4,2,2022-07-22,105.44,0.23,24.25,81.19,0,Not Returned,-2
124,2076,Boston,Sports,Debit Card,2022-07-24,3,1,2022-07-25,411.86,0.23,94.73,317.13,0,Not Returned,-2
125,1791,Boston,Electronics,COD,2022-11-02,1,3,2022-11-05,380.21,0.05,19.01,361.2,1,Late Delivery,2
126,4993,Boston,Clothing,UPI,2022-01-29,10,8,2022-02-06,289.28,0.03,8.68,280.6,0,Not Returned,-2
127,3264,Los Angeles,Electronics,Debit Card,2022-11-10,2,4,2022-11-14,75.71,0.18,13.63,62.08,0,Not Returned,2
128,1763,Dallas,Beauty,Debit Card,2022-10-09,7,5,2022-10-14,494.35,0.22,108.76,385.59,0,Not Returned,-2
129,3235,Chicago,Beauty,Net Banking,2022-01-23,6,5,2022-01-28,255.22,0.04,10.21,245.01,1,Late Delivery,-1
130,1379,Dallas,Beauty,COD,2022-01-17,1,2,2022-01-19,237.0,0.11,26.07,210.93,0,Not Returned,1
131,1492,Miami,Home Appliances,Net Banking,2022-05-13,3,1,2022-05-14,497.87,0.26,129.45,368.42,0,Not Returned,-2
132,4112,Chicago,Clothing,Net Banking,2022-02-28,10,8,2022-03-08,434.66,0.28,121.7,312.96,0,Not Returned,-2
133,2180,Los Angeles,Toys,Debit Card,2022-05-24,6,5,2022-05-29,239.06,0.14,33.47,205.59,1,Defective,-1
134,3062,Miami,Beauty,Net Banking,2022-04-13,2,2,2022-04-15,221.03,0.02,4.42,216.61,0,Not Returned,0
135,4884,Dallas,Toys,Credit Card,2022-04-04,8,7,2022-04-11,66.04,0.08,5.28,60.76,0,Not Returned,-1
136,1064,Miami,Books,COD,2022-09-18,4,2,2022-09-20,464.73,0.07,32.53,432.2,0,Not Returned,-2
137,4928,Houston,Books,Net Banking,2022-10-09,7,6,2022-10-15,425.01,0.07,29.75,395.26,0,Not Returned,-1
138,4910,Miami,Toys,Net Banking,2022-06-20,10,9,2022-06-29,168.8,0.15,25.32,143.48,0,Not Returned,-1
139,3568,Chicago,Electronics,UPI,2022-05-06,5,4,2022-05-10,381.59,0.17,64.87,316.72,0,Not Returned,-1
140,2367,Boston,Beauty,COD,2022-03-27,3,5,2022-04-01,386.11,0.04,15.44,370.67,1,Size Issue,2
141,2152,Boston,Home Appliances,COD,2022-07-05,2,1,2022-07-06,129.4,0.27,34.94,94.46,0,Not Returned,-1
142,3027,Seattle,Books,Net Banking,2022-04-19,2,1,2022-04-20,314.55,0.19,59.76,254.79,0,Not Returned,-1
143,3695,Dallas,Sports,Credit Card,2022-01-02,11,9,2022-01-11,142.41,0.18,25.63,116.78,0,Not Returned,-2
144,2495,Houston,Clothing,UPI,2022-02-13,3,5,2022-02-18,399.15,0.3,119.74,279.41,0,Not Returned,2
145,4134,Chicago,Sports,Credit Card,2022-07-23,3,3,2022-07-26,93.83,0.19,17.83,76.0,0,Not Returned,0
146,2162,Chicago,Toys,Net Banking,2022-04-16,1,2,2022-04-18,341.07,0.28,95.5,245.57,1,Wrong Item,1
147,2522,Phoenix,Books,COD,2022-08-07,5,7,2022-08-14,176.49,0.09,15.88,160.61,0,Not Returned,2
148,3640,New York,Books,COD,2022-04-19,2,4,2022-04-23,37.37,0.07,2.62,34.75,0,Not Returned,2
149,1391,Dallas,Electronics,Credit Card,2022-02-13,5,3,2022-02-16,79.38,0.15,11.91,67.47,1,Late Delivery,-2
150,2698,Chicago,Electronics,Debit Card,2022-08-05,1,2,2022-08-07,334.35,0.15,50.15,284.2,1,Defective,1
151,1418,San Francisco,Beauty,Net Banking,2022-11-01,6,4,2022-11-05,135.16,0.07,9.46,125.7,1,No Longer Needed,-2
152,3336,Chicago,Toys,COD,2022-04-01,11,9,2022-04-10,322.9,0.21,67.81,255.09,1,Wrong Item,-2
153,1378,Phoenix,Clothing,Debit Card,2022-03-22,7,7,2022-03-29,219.11,0.01,2.19,216.92,0,Not Returned,0
154,2796,Miami,Beauty,COD,2022-07-04,1,1,2022-07-05,352.5,0.21,74.02,278.48,1,Defective,0
155,4561,Los Angeles,Electronics,COD,2022-05-14,3,3,2022-05-17,256.62,0.14,35.93,220.69,0,Not Returned,0
156,3278,Los Angeles,Home Appliances,Debit Card,2022-12-04,4,5,2022-12-09,168.1,0.21,35.3,132.8,0,Not Returned,1
157,4065,San Francisco,Clothing,Credit Card,2022-10-26,5,7,2022-11-02,89.99,0.14,12.6,77.39,1,Late Delivery,2
158,3088,San Francisco,Home Appliances,Net Banking,2022-02-13,4,5,2022-02-18,183.73,0.29,53.28,130.45,0,Not Returned,1
159,4099,Seattle,Beauty,Debit Card,2022-03-07,7,9,2022-03-16,324.75,0.1,32.48,292.27,1,Size Issue,2
160,3182,Los Angeles,Electronics,Debit Card,2022-10-28,6,7,2022-11-04,375.43,0.29,108.87,266.56,0,Not Returned,1
161,1200,Miami,Clothing,COD,2022-01-19,3,1,2022-01-20,96.96,0.02,1.94,95.02,0,Not Returned,-2
162,2863,Los Angeles,Beauty,Debit Card,2022-08-31,8,6,2022-09-06,338.85,0.21,71.16,267.69,0,Not Returned,-2
163,1779,New York,Books,Net Banking,2022-09-05,1,2,2022-09-07,106.05,0.14,14.85,91.2,0,Not Returned,1
164,3977,Dallas,Beauty,Credit Card,2022-01-04,4,6,2022-01-10,126.47,0.25,31.62,94.85,0,Not Returned,2
165,4104,Los Angeles,Toys,Credit Card,2022-04-07,1,3,2022-04-10,275.03,0.24,66.01,209.02,1,No Longer Needed,2
166,4119,Boston,Sports,Credit Card,2022-12-20,3,2,2022-12-22,158.82,0.24,38.12,120.7,0,Not Returned,-1
167,1502,Seattle,Books,Net Banking,2022-04-06,3,3,2022-04-09,337.57,0.03,10.13,327.44,1,Wrong Item,0
168,3454,Phoenix,Home Appliances,COD,2022-07-29,5,4,2022-08-02,478.77,0.25,119.69,359.08,0,Not Returned,-1
169,4645,San Francisco,Books,Net Banking,2022-08-24,2,1,2022-08-25,91.47,0.06,5.49,85.98,1,Late Delivery,-1
170,2751,New York,Beauty,Debit Card,2022-05-17,6,4,2022-05-21,293.85,0.01,2.94,290.91,0,Not Returned,-2
171,1804,San Francisco,Books,UPI,2022-12-23,8,6,2022-12-29,463.18,0.07,32.42,430.76,0,Not Returned,-2
172,3146,Seattle,Sports,UPI,2022-02-17,3,5,2022-02-22,104.73,0.14,14.66,90.07,0,Not Returned,2
173,3731,Chicago,Toys,UPI,2022-06-13,7,5,2022-06-18,196.09,0.22,43.14,152.95,0,Not Returned,-2
174,2895,New York,Beauty,Credit Card,2022-07-14,7,9,2022-07-23,79.34,0.07,5.55,73.79,0,Not Returned,2
175,3773,Houston,Sports,Net Banking,2022-10-01,10,9,2022-10-10,328.18,0.03,9.85,318.33,1,Defective,-1
176,2570,New York,Books,Net Banking,2022-10-23,9,9,2022-11-01,341.19,0.19,64.83,276.36,1,No Longer Needed,0
177,1960,Seattle,Sports,Credit Card,2022-11-17,9,7,2022-11-24,338.81,0.3,101.64,237.17,0,Not Returned,-2
178,4810,Phoenix,Books,Debit Card,2022-06-30,10,9,2022-07-09,280.22,0.18,50.44,229.78,0,Not Returned,-1
179,3660,New York,Clothing,UPI,2022-04-24,6,8,2022-05-02,378.21,0.21,79.42,298.79,0,Not Returned,2
180,2485,Seattle,Books,UPI,2022-11-05,10,8,2022-11-13,37.22,0.17,6.33,30.89,0,Not Returned,-2
181,3690,Miami,Electronics,Credit Card,2022-03-03,5,5,2022-03-08,479.61,0.23,110.31,369.3,0,Not Returned,0
182,4840,Dallas,Sports,UPI,2022-05-06,11,9,2022-05-15,126.61,0.29,36.72,89.89,1,Size Issue,-2
183,2028,Los Angeles,Toys,COD,2022-06-12,6,8,2022-06-20,78.35,0.16,12.54,65.81,0,Not Returned,2
184,4289,Miami,Sports,Net Banking,2022-07-04,8,7,2022-07-11,471.75,0.13,61.33,410.42,0,Not Returned,-1
185,1502,Seattle,Home Appliances,UPI,2022-11-13,9,8,2022-11-21,418.61,0.26,108.84,309.77,0,Not Returned,-1
186,3814,Boston,Toys,UPI,2022-05-20,9,9,2022-05-29,387.14,0.29,112.27,274.87,0,Not Returned,0
187,1397,Chicago,Toys,COD,2022-08-31,7,7,2022-09-07,70.28,0.04,2.81,67.47,0,Not Returned,0
188,1870,Los Angeles,Home Appliances,Debit Card,2022-02-18,10,9,2022-02-27,407.61,0.17,69.29,338.32,1,No Longer Needed,-1
189,3842,Boston,Electronics,Debit Card,2022-05-30,7,8,2022-06-07,312.33,0.24,74.96,237.37,0,Not Returned,1
190,1392,Phoenix,Sports,COD,2022-03-31,3,2,2022-04-02,371.32,0.16,59.41,311.91,0,Not Returned,-1
191,1206,San Francisco,Toys,Debit Card,2022-11-20,1,3,2022-11-23,489.47,0.12,58.74,430.73,0,Not Returned,2
192,2038,Houston,Sports,Credit Card,2022-11-23,8,6,2022-11-29,113.33,0.2,22.67,90.66,0,Not Returned,-2
193,2881,Los Angeles,Toys,COD,2022-12-17,5,6,2022-12-23,262.1,0.08,20.97,241.13,0,Not Returned,1
194,4625,Miami,Home Appliances,Net Banking,2022-10-05,8,7,2022-10-12,381.61,0.1,38.16,343.45,0,Not Returned,-1
195,3939,Chicago,Home Appliances,Net Banking,2022-12-25,4,2,2022-12-27,228.16,0.3,68.45,159.71,0,Not Returned,-2
196,2484,Boston,Books,Net Banking,2022-10-23,1,1,2022-10-24,46.23,0.19,8.78,37.45,0,Not Returned,0
197,4762,Seattle,Beauty,UPI,2022-05-27,6,5,2022-06-01,73.49,0.26,19.11,54.38,0,Not Returned,-1
198,4646,Los Angeles,Sports,COD,2022-02-22,1,2,2022-02-24,309.0,0.24,74.16,234.84,0,Not Returned,1
199,1863,San Francisco,Sports,COD,2022-10-13,7,9,2022-10-22,156.8,0.2,31.36,125.44,0,Not Returned,2
200,3790,Seattle,Toys,Debit Card,2022-06-03,5,3,2022-06-06,86.16,0.25,21.54,64.62,0,Not Returned,-2
201,4312,Boston,Books,COD,2022-05-30,4,2,2022-06-01,183.15,0.09,16.48,166.67,0,Not Returned,-2
202,1563,Chicago,Sports,COD,2022-03-02,8,7,2022-03-09,116.47,0.19,22.13,94.34,0,Not Returned,-1
203,2020,New York,Toys,Debit Card,2022-03-14,4,6,2022-03-20,31.49,0.18,5.67,25.82,0,Not Returned,2
204,1095,San Francisco,Electronics,COD,2022-10-29,6,8,2022-11-06,92.87,0.19,17.65,75.22,0,Not Returned,2
205,2923,Seattle,Home Appliances,COD,2022-02-27,9,9,2022-03-08,443.88,0.05,22.19,421.69,0,Not Returned,0
206,2757,San Francisco,Home Appliances,Credit Card,2022-01-29,4,3,2022-02-01,25.78,0.08,2.06,23.72,0,Not Returned,-1
207,3532,Phoenix,Beauty,Debit Card,2022-08-12,10,8,2022-08-20,391.45,0.09,35.23,356.22,0,Not Returned,-2
208,4478,Seattle,Home Appliances,Credit Card,2022-02-22,4,4,2022-02-26,381.66,0.18,68.7,312.96,0,Not Returned,0
209,3278,Los Angeles,Clothing,UPI,2022-06-08,4,2,2022-06-10,290.83,0.29,84.34,206.49,1,No Longer Needed,-2
210,3796,New York,Electronics,Debit Card,2022-10-15,4,4,2022-10-19,120.05,0.29,34.81,85.24,0,Not Returned,0
211,2678,New York,Electronics,COD,2022-01-09,5,4,2022-01-13,441.47,0.07,30.9,410.57,0,Not Returned,-1
212,4242,Houston,Books,COD,2022-02-06,8,8,2022-02-14,248.04,0.09,22.32,225.72,0,Not Returned,0
213,1540,San Francisco,Clothing,Credit Card,2022-09-21,8,8,2022-09-29,103.14,0.01,1.03,102.11,0,Not Returned,0
214,2059,Miami,Sports,Credit Card,2022-03-09,5,7,2022-03-16,225.93,0.12,27.11,198.82,0,Not Returned,2
